date,year_month,n_firms,Mkt-RF,SMB,HML,RF,portfolio_return,excess_return
1991-02-01,1991-02,104,0.0719,0.0395,-0.0058,0.0048,0.0669,0.0621
1991-03-01,1991-03,104,0.0265,0.0393,-0.0139,0.0044,0.0215,0.017099999999999997
1991-04-01,1991-04,102,-0.0028,0.0048,0.015,0.0053,-0.0078,-0.0131
1991-05-01,1991-05,99,0.0365,-0.004,-0.0052,0.0046999999999999,0.0315,0.0268000000000001
1991-06-01,1991-06,97,-0.0494,0.0013,0.0115,0.0042,-0.0544,-0.0586
1991-07-01,1991-07,83,0.0424,-0.0092,-0.0132,0.0049,0.0374,0.0325
1991-08-01,1991-08,80,0.0232,0.0158,-0.0078,0.0046,0.018199999999999997,0.013599999999999998
1991-09-01,1991-09,78,-0.0159,0.0163999999999999,-0.0108,0.0046,-0.020900000000000002,-0.025500000000000002
1991-10-01,1991-10,73,0.0129,0.0081,-0.0046999999999999,0.0042,0.0079,0.003700000000000001
1991-11-01,1991-11,71,-0.0419,-0.005,-0.0189,0.0039,-0.0469,-0.0508
1991-12-01,1991-12,67,0.1084,-0.0224,-0.0417,0.0038,0.10339999999999999,0.0996
1992-01-01,1992-01,64,-0.0059,0.0846,0.0471,0.0034,-0.0109,-0.0143
1992-02-01,1992-02,62,0.0109,0.0087,0.0647,0.0028,0.0059,0.0031
1992-03-01,1992-03,59,-0.0266,-0.0104,0.0356,0.0034,-0.031599999999999996,-0.034999999999999996
1992-04-01,1992-04,57,0.0107,-0.0605999999999999,0.0434,0.0032,0.005699999999999999,0.002499999999999999
1992-05-01,1992-05,52,0.003,0.0040999999999999,0.0118999999999999,0.0028,-0.002,-0.0048000000000000004
1992-06-01,1992-06,49,-0.0233999999999999,-0.0306999999999999,0.0324,0.0032,-0.0283999999999999,-0.0315999999999999
1992-07-01,1992-07,41,0.0377,-0.0046999999999999,-0.0056,0.0031,0.0327,0.0296
1992-08-01,1992-08,33,-0.0237999999999999,-0.0013,-0.011,0.0026,-0.028799999999999902,-0.0313999999999999
1992-09-01,1992-09,28,0.0118999999999999,0.0054,-0.0026,0.0026,0.0068999999999999,0.0042999999999999
1992-10-01,1992-10,24,0.0102,0.0209,-0.0197999999999999,0.0023,0.005200000000000001,0.0029000000000000007
1992-11-01,1992-11,16,0.0412999999999999,0.0375999999999999,-0.0135,0.0023,0.0362999999999999,0.033999999999999905
1992-12-01,1992-12,7,0.0153,0.0169,0.0262,0.0028,0.0103,0.0075
