Perm,CUSIP,SIC,ISSUER_NAME,SHARES,PRICE,OFFER_SIZE,ISSUE_DATE,ANNOUNCEMENT_DATE,PERIOD
10516,03948310,2045,ARCHER DANIELS MIDLAND,2000000,30.5,61.0,1975-09-17,1975-08-21,27.0
10516,03948310,2045,ARCHER-DANIELS-MIDLAND,4000000,36.5,146.0,1980-01-31,1980-01-25,6.0
10516,03948310,2045,ARCHER-DANIELS-MIDLAND,3500000,34.0,119.0,1980-12-11,1980-12-01,10.0
10516,03948310,2045,ARCHER-DANIELS-MIDLAND,6000000,22.125,132.75,1983-01-28,1983-01-26,2.0
14833,03957510,3572,ARCHIVE CORP,2000000,12.0,24.0,1987-08-27,1987-08-14,13.0
14892,04015010,1311,ARGONAUT ENERGY CORP,1000000,6.875,6.875,1979-09-25,1979-07-25,62.0
29209,04273510,5065,ARROW ELECTRONICS INC,1300000,22.25,28.925,1983-04-04,1983-03-09,26.0
10364,04341310,3356,ASARCO INC,750000,35.125,26.344,1983-02-18,1983-02-15,3.0
10364,04341310,3356,ASARCO INC,3000000,22.875,68.625,1985-02-28,1985-02-12,16.0
10364,04341310,3356,ASARCO INC,3500000,22.5,78.75,1987-04-01,1987-02-13,47.0
15246,04508010,7372,ASHTON-TATE,1300000,21.375,27.788,1986-04-08,1986-03-11,28.0
29276,04635710,5065,ASTREX INC,400000,21.75,8.7,1980-10-16,1980-09-09,37.0
15449,04639010,3661,ASTROCOM CORP,500000,2.75,1.375,1979-11-20,1979-10-11,40.0
15473,04680810,3640,ATCOR INC,750000,25.25,18.938,1986-03-14,1986-03-05,9.0
15625,04853510,6189,ATLANTIC FINL FEDERAL,650000,17.625,11.456,1986-02-25,1986-02-18,7.0
15676,04881610,3760,ATLANTIC RESEARCH CORP,450000,23.25,10.463,1982-08-24,1982-07-26,29.0
10385,00208L10,5500,ATN INC,1500000,7.75,11.625,1987-04-21,1987-02-25,55.0
10281,05277710,4899,AUTOINFO INC,1150000,7.75,8.913,1987-08-07,1987-07-01,37.0
44644,05301510,7374,AUTOMATIC DATA PROCESSG,2000000,29.125,58.25,1981-05-19,1981-04-29,20.0
15820,05275410,3573,AUTOTROL TECH CORP,650000,17.0,11.05,1983-10-26,,
15991,14452510,5122,AVACARE INC,600000,8.325,4.995,1984-10-12,1984-09-20,22.0
16011,05349210,3674,AVANTEK INC,400000,22.25,8.9,1980-03-20,1980-02-14,35.0
16011,05349210,3674,AVANTEK INC,1200000,18.0,21.6,1981-11-17,1981-10-28,20.0
16003,05348810,7373,AVANT-GARDE COMPUTING,500000,15.5,7.75,1984-03-21,1984-01-27,54.0
18606,05350110,3764,AVCO CORP,3000000,29.0,87.0,1984-08-02,1984-07-20,13.0
56899,00244010,3675,AVX CORP,400000,33.25,13.3,1978-08-15,,
56899,00244010,3675,AVX CORP,900000,24.375,21.938,1980-03-20,1980-02-28,21.0
56899,00244010,3675,AVX CORP,1000000,26.5,26.5,1983-02-24,1983-02-14,10.0
56899,00244010,3675,AVX CORP,1250000,12.75,15.938,1985-06-20,1985-06-12,8.0
56899,00244010,3675,AVX CORP,2000000,14.375,28.75,1986-04-29,1986-03-24,36.0
16361,05706810,3826,BAIRD CORP,600000,14.0,8.4,1980-11-26,1980-10-20,37.0
28134,05726410,3533,BAKER INTERNATL CORP,1800000,34.25,61.65,1979-02-21,,
47423,06879810,3142,BARRY R G CORP,250000,15.25,3.813,1978-12-19,,
17196,07272310,6022,BAYBANKS INC,700000,69.5,48.65,1986-02-21,1986-02-11,10.0
16169,05527510,7311,BBDO INTERNATIONAL INC,600000,40.0,24.0,1983-11-23,1983-11-07,16.0
17953,07407710,6711,BEATRICE COS INC,13000000,31.25,406.25,1985-07-10,1985-06-21,19.0
25697,07581510,3841,BECKMAN INSTRUMENTS INC,2000000,27.0,54.0,1979-10-04,1979-09-21,13.0
39642,07588710,3841,BECTON DICKINSON & CO,1500000,35.5,53.25,1975-05-28,1975-04-17,41.0
64522,53219710,5812,BEEFSTEAK CHARLIE'S INC,700000,7.5,5.25,1983-04-21,1983-04-12,9.0
17444,07734710,3679,BEL FUSE INC,530000,13.75,7.288,1987-09-15,1987-08-25,21.0
63917,08577610,6711,BERRY INDUSTRIES CORP,625000,10.0,6.25,1980-12-16,1980-09-19,88.0
85914,08651610,5732,BEST BUY CO INC,1250000,26.25,32.813,1986-05-29,1986-04-03,56.0
58018,08655110,5311,BEST PRODUCTS CO INC,825000,26.5,21.862,1979-09-18,1979-08-30,19.0
10786,08750910,3312,BETHLEHEM STEEL CORP,5000000,16.5,82.5,1985-05-09,,
10786,08750910,3312,BETHLEHEM STEEL CORP,12000000,16.375,196.5,1987-10-16,1987-09-15,31.0
10786,08750910,3312,BETHLEHEM STEEL CORP,10000000,19.0,190.0,1988-05-05,1988-04-19,16.0
